appid,name,release_year,release_date,genres,categories,price,recommendations,developer,publisher
2964410,NETHER HEROES,2024,"Jun 5, 2024",Action;Adventure;Casual;Indie;Free To Play,Single-player;Steam Achievements,0.0,0,Mitridan;Arakuma Studio,Arakuma Studio
1896200,Down Fall,2022,"Jun 29, 2022",Action;Indie;Early Access,Multi-player;PvP;Online PvP;LAN PvP;Stats;Family Sharing,0.99,0,Column Corp.,Column Corp.
1933330,Tales from the Crossing: The Captain's Chair,2022,"Apr 27, 2022",Adventure;Casual;Indie,Single-player;Family Sharing,1.99,0,RifRaf Games,RifRaf Games
3541190,Rush The Towers,2025,"Mar 12, 2025",Casual;Indie;Strategy,Single-player;Family Sharing,1.99,0,Ian Jowe,Ian Jowe
2496460,Tatari: The Arrival,2023,"Oct 3, 2023",Adventure;Indie,Single-player,0.0,0,Hidden Tower Studios,TheGamesFortress
3406750,ROOM WASHER,2025,"Jan 23, 2025",Action;Indie,Single-player;Full controller support;Family Sharing,4.99,0,MANISPIN Inc.,MANISPIN Inc.
1304680,Voidigo,2023,"Jun 8, 2023",Action;Adventure;Indie,Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Remote Play Together;Family Sharing,4.99,3455,semiwork,semiwork
3577140,Escape from Mental Hospital,2025,"Nov 17, 2025",Adventure;Casual,Single-player;Steam Achievements;Family Sharing,9.99,0,Peaksel,Peaksel
1311070,Greak: Memories of Azur,2021,"Aug 17, 2021",Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing,19.99,911,Navegante,Team17
3424500,Fix-mas,2025,"Feb 25, 2025",Action;Casual;Indie;Free To Play,Single-player,0.0,0,Be폭력주의자,청강문화산업대학교
1660580,Invasion: Neo Earth,2022,"Oct 7, 2022",Indie;Strategy,Single-player;Steam Achievements;Steam Cloud;Family Sharing,8.99,0,IAO Games,IAO Games
